登机口,近/远机位登机口,国际/国内,登机口对应机位等级,步行时间,登机口对应的机位,到达行走时间,出发行走时间,中转行走时间
A101,1,1,3,4.3,101,4.3,4.3,26
A102,1,1,1,5.5,102,5.5,5.5,26
A103,1,1,3,6.3,103,6.3,6.3,26
A104,1,1,3,7.5,104,7.5,7.5,26
A105,1,1,4,8.3,105,8.3,8.3,26
A106,1,1,4,8.5,106,8.5,8.5,26
A107,1,1,3,8.3,107,8.3,8.3,26
A108,1,1,2,8,108,8,8,26
A109,1,1,3,7.1,109,7.1,7.1,26
A110,1,1,3,6.1,110,6.1,6.1,26
A111,1,1,3,5.1,111,5.1,5.1,26
A112,1,1,1,4.4,112,4.4,4.4,26
A113,1,1,1,1.5,113,1.5,1.5,22
A114,1,1,3,2.4,114,2.4,2.4,22
A115,1,1,1,3.1,115,3.1,3.1,22
A116,1,1,3,4,116,4,4,22
A117,1,1,4,4.4,117,4.4,4.4,22
A118,1,1,3,4.5,118,4.5,4.5,22
A119,1,1,2,4.5,119,4.5,4.5,22
A120,1,1,2,4,120,4,4,22
A121,1,1,2,3.1,121,3.1,3.1,22
A122,1,1,1,2.5,122,2.5,2.5,22
A123,1,1,1,1.9,123,1.9,1.9,22
A124,1,0,1,5.9,124,5.9,5.9,25.2
A125,1,0,2,6.5,125,6.5,6.5,25.2
A126,1,0,2,7.4,126,7.4,7.4,25.2
A127,1,0,1,8,127,8,8,25.2
A128,1,0,3,8.5,128,8.5,8.5,25.2
A129,1,0,4,8.5,129,8.5,8.5,25.2
A130,1,0,2,8.5,130,8.5,8.5,25.2
A131,1,0,2,7.9,131,7.9,7.9,25.2
A132,1,0,2,7.2,132,7.2,7.2,25.2
A133,1,0,1,6.5,133,6.5,6.5,25.2
A144,1,1,1,7.6,144,7.6,7.6,27
A145,1,1,3,9.1,145,9.1,9.1,27
A146,1,1,3,9.9,146,9.9,9.9,27
A147,1,1,4,10.5,147,10.5,10.5,27
A148,1,1,3,10.6,148,10.6,10.6,27
A149,1,1,4,10.6,149,10.6,10.6,27
A150,1,1,3,10.4,150,10.4,10.4,27
